user_id,recommendation_rank,question_id,chapter_name,concept_id,concept_name,difficulty,recommendation_score,weakness_score,difficulty_alignment_score,graph_priority_score,novelty_score,rationale
student_cbse_01,1,q_tb_standard_trig_values_001,Introduction to Trigonometry,c_standard_trig_values,Standard Trigonometric Values,easy,0.8443,0.8311,1.0,0.5857,1.0,Standard Trigonometric Values is currently needs_support (mastery=0.17); recommended difficulty is easy and this question is easy; new question; high graph priority.
student_cbse_01,2,q_trig_002,Introduction to Trigonometry,c_standard_trig_values,Standard Trigonometric Values,easy,0.8023,0.8311,1.0,0.5857,0.65,Standard Trigonometric Values is currently needs_support (mastery=0.17); recommended difficulty is easy and this question is easy; lightly repeated practice; high graph priority.
student_cbse_01,3,q_tb_ap_applications_001,Arithmetic Progressions,c_ap_applications,Applications of Arithmetic Progressions,medium,0.7651,0.8709,0.6,0.5281,1.0,Applications of Arithmetic Progressions is currently needs_support (mastery=0.13); recommended difficulty is easy and this question is medium; new question; local concept practice.
student_cbse_01,4,q_tb_ap_sum_002,Arithmetic Progressions,c_ap_sum,Sum of First n Terms of an Arithmetic Progression,medium,0.7563,0.8125,0.6,0.6351,1.0,Sum of First n Terms of an Arithmetic Progression is currently needs_support (mastery=0.19); recommended difficulty is easy and this question is medium; new question; high graph priority.
student_cbse_01,5,q_tb_grouped_data_mean_001,Statistics,c_grouped_data_mean,Mean of Grouped Data,easy,0.7422,0.8588,1.0,0.1778,0.65,Mean of Grouped Data is currently needs_support (mastery=0.14); recommended difficulty is easy and this question is easy; lightly repeated practice; local concept practice.
student_cbse_01,6,q_rn_002,Real Numbers,c_hcf_lcm,HCF and LCM,medium,0.7377,0.831,0.6,0.482,1.0,HCF and LCM is currently needs_support (mastery=0.17); recommended difficulty is easy and this question is medium; new question; local concept practice.
student_cbse_01,7,q_tb_hcf_lcm_001,Real Numbers,c_hcf_lcm,HCF and LCM,medium,0.7377,0.831,0.6,0.482,1.0,HCF and LCM is currently needs_support (mastery=0.17); recommended difficulty is easy and this question is medium; new question; local concept practice.
student_cbse_01,8,q_trig_003,Introduction to Trigonometry,c_trig_identities,Trigonometric Identities,medium,0.7219,0.8265,0.6,0.4063,1.0,Trigonometric Identities is currently needs_support (mastery=0.17); recommended difficulty is easy and this question is medium; new question; local concept practice.
student_cbse_01,9,q_tb_ap_sum_001,Arithmetic Progressions,c_ap_sum,Sum of First n Terms of an Arithmetic Progression,medium,0.7143,0.8125,0.6,0.6351,0.65,Sum of First n Terms of an Arithmetic Progression is currently needs_support (mastery=0.19); recommended difficulty is easy and this question is medium; lightly repeated practice; high graph priority.
student_cbse_01,10,q_tb_sectors_segments_001,Areas Related to Circles,c_sectors_segments,Sectors and Segments of a Circle,medium,0.7093,0.8672,0.6,0.2278,1.0,Sectors and Segments of a Circle is currently needs_support (mastery=0.13); recommended difficulty is easy and this question is medium; new question; local concept practice.
